Lake,County,Nearby town,Size (acres),Littoral zone (acres),Max depth (ft),Water clarity (ft),MNDNR Code,Notes
May,Itasca,Bigfolk,65.43,65.43,15.0,3.6,,
Maydole Logan,Aitkin,Palisade,31.0,31.0,11.0,,,
Mayfield,Clay,Rollag,38.0,38.0,10.0,5.6,,
Mayhew,Benton,Mayhew,131.0,66.0,20.0,5.5,,
Mayhew,Cook,Grand Marais,220.9,33.5,84.0,20.1,,
Maynard,Meeker,Darwin,81.0,81.0,,3.3,,
Mayo,Crow Wing,Pequot Lakes,155.0,147.0,22.0,7.0,,
Mayo Pond,Olmsted,Rochester,33.0,33.0,,6.6,,
Mayowood,Olmsted,Golden Hill,38.0,38.0,7.0,3.3,,
Mays,Washington,Maple Island,50.0,23.0,25.0,8.9,,
Maxim,Wright,Albion Center,45.82,42.0,18.0,2.23,,
Mazaska,Rice,Shieldsville,685.0,336.0,50.0,2.3,,
McAvity,Itasca,Grand Rapids,137.0,101.0,29.0,15.0,,
McColl Pond,Scott,Savage,22.15,21.0,11.0,6.4,,
McCormack,St Louis,Chisholm,54.93,21.0,25.0,6.9,,
McCormic,Stearns,Sauk Centre,180.0,180.0,12.0,6.0,,
McCoy,Hennepin,Eden Prairie,11.0,11.0,10.0,3.75,,
McCraney,Mahnomen,Nay-tah-waush,268.0,107.0,43.0,11.0,,
McDonald (Big),Otter Tail,Perham,935.0,368.0,46.0,10.2,,
McDonald (Little),Otter Tail,Perham,1174.0,413.0,109.0,19.1,,
McFarland,Cook,Hovland,384.0,203.0,49.0,15.5,,
McKenney,Stearns,Melrose,26.0,26.0,16.0,1.0,,
McKinney,Itasca,Grand Rapids,115.0,99.0,34.0,5.5,,
McMahon,Scott,Credit River,162.26,157.93,14.0,4.5,,
McQuade,St. Louis,Hibbing,164.0,157.0,21.0,5.0,,
Mead,Wright,South Haven,,,,,,
Meadow,Morrison,Randall,17.0,17.0,,9.0,,
Meadow Road,Morrison,Lincoln,,,,,,
Medicine,Beltrami,Tenstrike,446.0,308.0,44.0,5.9,,
Medicine,Hennepin,Plymouth,886.0,399.0,49.0,5.5,,
Melissa,Becker,Detroit Lakes,1831.0,934.0,43.0,6.6,,
Melrose,Wright,Enfield,58.0,58.0,26.0,3.87,,
Melrose Mill Pond,Stearns,Melrose,72.31,72.31,9.5,5.0,,
Mempin,Beltrami,Redby,125.0,91.0,23.0,6.3,,
Mesaba Iron Range Pit #1,Itasca,Cohasset,177.0,177.0,,5.9,,
Mesaba Iron Range Pit #2,Itasca,Cohasset,125.0,125.0,,7.5,,
Mesaba Iron Range Pit #3,Itasca,Cohasset,24.0,24.0,,6.6,,
Mesaba Iron Range Pit #7,St Louis,Hibbing,6.0,6.0,,2.7,,
Mesaba Iron Range Pit #8,St Louis,Hibbing,11.0,11.0,,5.1,,
Mesaba Iron Range Pit #9,St Louis,Hibbing,19.0,19.0,,8.3,,
Metty Marsh,Murray,Dovray,,,,,,
Meyer,Clay,Hitterdahl,108.0,,7.0,1.5,,
Meyers,Stearns,Richmond,27.0,27.0,38.0,3.0,,
Micmac,Lake,Finland,136.91,131.0,20.0,11.5,,
Michaels,Morrison,Fort Ripley,66.0,66.0,,5.25,,
Middle,Otter Tail,Battle Lake,194.0,100.0,56.0,17.5,,
Middle Cormorant,Becker,Lake Park,360.0,144.0,40.0,11.5,,
Middle Crooked,Hubbard,Nevis,294.0,260.0,33.0,14.0,,
Middle Leaf,Otter Tail,Ottertail,398.0,181.0,43.0,12.0,,
Middle Mahnomen,Crow Wing,Crosby,145.0,145.0,,2.3,,
Middle Spunk,Stearns,Avon,236.3,80.8,81.0,10.0,,
Midge,Hubbard,Bemidji,521.0,496.0,24.0,17.0,,
Mile,Cass,Baxter,77.0,77.0,11.0,6.24,,
Milford,Crow Wing,Wolford,64.0,64.0,69.0,11.0,,
Milky,Wright,Howard Lake,31.0,31.0,,3.71,,
Mill,Douglas,Alexandria,600.0,240.0,40.0,11.5,,
Mill Pond,Benton,Rice,,,,,,
Mill Pond,Mower,Austin,18.28,17.0,17.0,3.6,,
Mill Pond,,,24.0,24.0,12.0,9.0,,
Mill Pond Lake,,,171.0,171.0,10.0,9.5,,
Mille Lacs,Mille Lacs,Garrison,132516.0,33129.0,42.0,,,
Miller,Carver,Benton,142.5,142.26,14.0,1.5,,
Miller,Meeker,Crow River,83.0,83.0,,1.5,,
Miller,Morrison,Randall,21.0,21.0,,5.5,,
Miller Pit West,St. Louis,Aurora,17.0,4.0,174.0,31.0,,
Millers,Morrison,Cushing,14.0,14.0,6.0,2.0,,
Millman,Carver,Lyndale,21.0,21.0,11.0,4.6,,
Millstone,Wright,Silver Creek,199.63,199.63,8.5,2.92,,
Millwood,Stearns,Melrose,39.0,39.0,8.0,5.0,,
Miltona,Douglas,Miltona,5838.0,2802.0,105.0,9.5,,
Mina,Douglas,Alexandria,424.0,178.0,123.0,11.5,,
Minard,Anoka,East Bethel,138.0,,7.0,,,
Miner's Pit,St. Louis,Ely,141.17,25.0,140.0,14.0,,
Minerva,Clearwater,Alida,236.0,218.0,16.0,9.0,,
Minisogama,Itasca,Pennington,124.0,124.0,14.0,4.3,,
Mink,Wright,Buffalo,93.9,57.0,36.0,4.0,,
Mink,Wright,Maple Lake,301.0,276.0,39.0,2.7,,
Minnehaha Marsh,Hennepin,Oak Knoll,4.0,4.0,8.0,7.0,,
Minnesota Lake,Faribault,Minnesota Lake,1911.0,,,,,
Minnesota Slough,Houston,Cee Jefferson,9600.0,9600.0,22.0,4.0,,
Minnetonka,Hennepin,Minnetonka,14004.0,5849.0,113.0,10.9,,
Minett-Kranz Reservoir,Pipestone,Ruthton,10.0,9.0,22.5,5.0,,
Minnewashta,Carver,Chanhassen,738.0,,70.0,13.5,,
Minnewaska,Pope,Glenwood,7110.0,2140.0,32.0,7.0,,
Minnewawa,Aitkin,McGregor,2512.0,2286.0,21.0,3.0,,
Minni-Car-Car,Itasca,Inger,27.0,27.0,22.0,10.5,,
Minni R6,Yellow Medicine,Canby,2.0,2.0,10.0,5.0,,
Minnie,Stearns,Avon,26.54,9.41,57.0,9.0,,
Minnie Belle,Meeker,Litchfield,545.0,169.0,49.0,16.0,,
Minntac-West Pit,St. Louis,Mt Iron,3000.0,3000.0,36.0,18.0,,
Misplaced,Cook,Maple Hill,26.0,26.0,18.0,15.0,,
Mission (Lower),Crow Wing,Merrifield,698.0,452.0,27.0,,,
Mission (Upper),Crow Wing,Merrifield,817.0,256.0,36.0,14.0,,
Mitawan,Lake,Isabella,185.0,105.0,24.0,15.0,,
Mitchell,Crow Wing,Emily,439.0,118.0,78.0,8.0,,
Mitchell,Hennepin,Eden Prairie,112.0,109.0,19.0,3.5,,
MNDOT Pond,Wright,Buffalo,,,,,,
Moe,Meeker,Atwater,23.0,23.0,8.0,4.0,,
Molly Stark,Otter Tail,Battle Lake,152.05,63.0,48.0,11.3,,
Moonan Marsh,Waseca,,,,,,,
Mooney,Hennepin,Plymouth,118.0,,10.0,,,
Morroco Mine,Crow Wing,Trommald,78.0,14.9,265.0,26.0,,
Moore,Wright,Rockford,179.0,179.0,14.0,1.9,,
Moose,Itasca,Northome,357.0,93.0,52.0,9.0,,
Moose,Lake,Ely,1300.0,262.0,65.0,13.0,,
Moosehead,Carlton,Moose Lake,292.0,261.0,18.0,4.0,,
Moses,Douglas,Millerville,822.0,399.0,32.0,12.5,,
Mosomo,Itasca,Max,48.09,19.0,30.0,9.5,,
Mott Pit,St. Louis,Mountain Pit,17.68,17.68,80.0,11.0,,
Mound,Todd,Burtrum,273.0,88.0,57.0,13.5,,
Mountain,Cottonwood,Mountain Lake,241.0,241.0,8.0,2.0,,
Movil,Beltrami,Bemidji,923.0,513.0,50.0,6.25,,
Mow,Hubbard,Akeley,106.25,60.0,34.0,5.2,,
Mud,Cass,Hackensack,41.0,18.0,9.0,6.0,,
Mud,,,68.0,52.0,8.0,5.312,,
Mud,Lac qui Parle,Rosen,77.0,77.0,10.0,9.8,,
Mud,Meeker,Crow River,,,,,,
Mud,Meeker,Forest City,135.0,135.0,,3.7,,
Mud,Morrison,Belle Prairie,55.0,55.0,,6.15,,
Mud,Morrison,Flensburg,86.0,86.0,,5.74,,
Mud,Morrison,Fort Ripley,16.0,16.0,,6.9,,
Mud,Morrison,Harding,29.0,29.0,,2.43,,
Mud,Morrison,Lincoln,62.0,62.0,,7.02,,
Mud,Morrison,Pillager,170.0,170.0,,5.22,,
Mud,Morrison,Sobieski,34.0,34.0,,3.61,,
Mud,Morrison,Vawter,14.0,14.0,,4.82,,
Mud,Otter Tail,Perham,305.0,305.0,10.0,1.45,,
Mud,Sherburne,Crown,11.0,11.0,,1.64,,
Mud,Sherburne,Elk River,7.0,7.0,,4.26,,
Mud,Stearns,Farming,112.0,112.0,12.0,3.0,,
Mud,Stearns,Freeport,17.0,17.0,14.0,3.0,,
Mud,Stearns,Marty,66.0,60.0,12.0,5.44,,
Mud,Stearns,Richmond,66.0,66.0,18.0,7.0,,
Mud,Stearns,Richmond,30.0,30.0,6.0,3.0,,
Mud,Stearns,Richmond,42.0,42.0,5.0,1.0,,
Mud,Stearns,Richmond,30.0,30.0,8.0,6.0,,
Mud,Stearns,St Rosa,34.0,34.0,16.0,7.0,,
Mud,Stearns,Waite Park,35.0,35.0,9.0,1.0,,
Mud,Kandiyohi,New London,2318.0,2318.0,14.0,5.4,,
Mud,Traverse,Wheaton,1640.0,1640.0,6.5,4.0,,
Mud,Washington,Maple Island,59.0,59.0,9.0,2.0,,
Mud,Washington,Maple Island,9.0,9.0,8.0,2.0,,
Mud,Wright,Albright,56.59,29.0,65.0,5.0,,
Mud,Wright,Hanover,77.0,77.0,6.0,5.39,,
Mud,Wright,Maple Lake,125.0,125.0,,2.77,,
Mud,Wright,Monticello,32.85,16.0,37.0,4.5,,
Mud,Wright,Rassat,56.0,56.0,,4.17,,
Mud,Wright,Rockford,27.0,27.0,,3.38,,
Mud Hen,Dakota,Etter,174.0,174.0,10.0,2.0,,
Mukooda,St. Louis,Crane Lake,754.0,151.0,78.0,12.0,,
Mule,Cass,Longville,456.0,182.0,47.0,15.5,,
Mund,Stearns,Clearwater,21.0,21.0,18.0,4.0,,
Murphy,St. Louis,Central Lakes,395.0,261.0,24.0,4.1,,
Murray,Stearns,Kimball,45.0,45.0,21.0,5.952,,
Mush,Cook,Maple Hill,27.68,27.0,16.0,6.0,,
Muskrat,Morrison,Fort Ripley,,,,,,
Muskrat,Morrison,Fort Ripley,25.0,25.0,,6.0,,
Myrtle,St. Louis,Orr,889.0,862.0,20.0,10.5,,
Nagel,Itasca,Cohasset,87.0,87.0,,2.0,,
Namakan,St Louis,Ray,24066.28,5026.0,150.0,10.7,,
National Steel(NSPC) Pit #1,St Louis,Kelly Lake,37.0,37.0,,5.0,,
National Steel(NSPC) Pit #2,St Louis,Kelly Lake,61.0,61.0,,5.0,,
Nelson,Becker,Lake Park,241.0,236.0,16.0,7.0,,
Nelson,Meeker,Atwater,25.0,25.0,,8.5,,
Nelson,Pope,Glenwood,403.0,403.0,9.0,4.5,,
Nelson Marsh,Chisago,,,,,,,
Nelson's Marsh,Murray,,,,,,,
Nest,Kandiyohi,Spicer,945.0,525.0,40.0,9.8,,
Net,Becker,White Earth,213.0,134.0,47.0,6.5,,
Net,Pine,Nickerson,136.0,136.0,15.0,3.7,,
Nevens Pond,Wright,Annandale,6.0,6.0,14.0,8.0,,
Newfound,Lake,Ely,643.0,119.0,45.0,7.7,,
Newman,Hubbard,Bemidji,45.41,13.0,63.0,15.3,,
Nichols,St. Louis,Payne,413.0,362.0,31.0,5.1,,
Nine Mile,Hennepin,Port Cargill,38.0,38.0,8.0,6.0,,
Ninemile,Lake,Schroeder,296.0,288.0,40.0,10.0,,
Ninth Crow Wing,Hubbard,Akeley,227.0,95.0,65.0,9.5,,
Nipisiquit,Lake,Illgen City,58.94,29.0,21.0,10.5,,
Nixon,Wright,Hasty,59.57,33.0,67.0,8.23,,
Nokay,Crow Wing,Brainerd,660.0,218.0,42.0,8.0,,
Nokomis,Hennepin,Minneapolis,204.0,100.0,33.0,2.0,,
Noma,Itasca,Wirt,60.48,27.0,47.0,12.5,,
Nora WMA,Pope,,46.0,46.0,,4.6,,
Nord,Aitkin,Aitkin,412.0,272.0,29.0,10.5,,
Normandale,Hennepin,Bloomington,102.0,102.0,12.0,4.9,,
Normandy Pond,Morrison,Randall,6.0,6.0,,,,
North,Goodhue,Etter,1548.93,1548.93,13.0,2.0,,
North,Stearns,Albany,71.0,71.0,9.0,3.0,,
North,Wright,Monticello,75.0,75.0,27.0,6.98,,
North,Wright,Silver Creek,33.0,33.0,,3.9,,
North Baker,Stevens,Cyrus,30.0,30.0,10.0,4.0,,
North Bay,Sherburne,Santiago,,,,,,
North Berthiaume,Wright,Buffalo,23.73,19.0,43.0,12.0,,
North Browns,Stearns,Eden Valley,324.0,130.0,41.0,4.5,,
North Goose,Washington,Lake Elmo,6.0,6.0,12.0,3.0,,
North Hegman,St Louis,Ely,70.03,60.0,30.0,7.5,,
North Lark,Lake,Ely,3.7,0.7,24.0,9.0,,
North Lida,Otter Tail,Pelican Rapids,5564.0,2380.0,58.0,7.0,,
North Long Pit,St Louis,Ridge,222.0,222.0,112.0,33.0,,
North Marsh,Lac qui Parle,Clarkfield,40.0,40.0,,10.5,,
North Marsh,Murray,Current Lake,43.0,43.0,9.0,2.0,,
North Maughan,Stevens,Morris,45.0,45.0,7.0,4.3,,
North Star,Itasca,Marcell,1059.0,314.0,90.0,12.9,,
North Skinny Pit,St Louis,Ridge,32.0,32.0,60.0,35.0,,
North Star,St. Louis,Hibbing,39.0,,,,,
North Tamarack,Becker,Rochert,1442.31,1389.0,17.0,5.5,,
North Ten Mile,Otter Tail,Fergus Falls,745.0,745.0,14.0,2.0,,
North Turtle,Otter Tail,Underwood,1484.0,1454.0,19.0,9.6,,
North Twin,Beltrami,Turtle River,313.0,138.0,59.0,16.0,,
North Twin,Itasca,Marble,250.0,73.0,42.0,11.0,,
North Twin,Mahnomen,Nay-tah-waush,901.0,900.0,16.0,9.0,,
North Twin,Morrison,Lincoln,41.0,41.0,,10.5,,
North Twin,Wright,Buffalo,48.93,24.9,58.0,14.5,,
North Wolf,Stearns,Melrose,18.0,18.0,14.0,3.0,,
Northern Light,Cook,Grand Marais,433.0,433.0,7.5,6.0,,
Norway,Kandiyohi,Sunburg,2344.0,2152.0,33.0,7.2,,
Norway,Otter Tail,Underwood,384.0,242.0,19.0,3.6,,
No-Ta-She-Bun(Willow),Itasca,Remer,238.0,72.0,45.0,20.0,,
Nyrocha Flats WMA,Lyon,Florence,31.0,31.0,5.0,1.0,,
O'Brien Reservoir,Itasca,Nashwauk,538.96,538.96,63.0,12.0,,
O'Donald,Morrison,Sobieski,26.0,26.0,,4.81,,
O'Dowd,Scott,Shakopee,258.0,235.0,22.0,1.8,,
O'Reilly,Itasca,Taconite,189.31,56.0,79.0,13.0,,
Oak,Pine,Duquette,442.0,433.0,20.0,2.5,,
Ochotto,Stearns,Avon,40.09,22.0,40.0,14.5,,
Ojibway,Lake,Ely,371.0,134.0,115.0,16.0,,
Okabena,Nobles,Worthington,776.0,,15.3,,,
Okamanpeedan,Martin,Ceylon,2294.3,2294.3,6.5,1.5,,
Oliver,Swift,Appleton,416.0,300.0,35.0,5.0,,
Olson,Stevens,Cyrus,425.0,425.0,20.0,2.0,,
Onamia,Mille Lacs,Onamia,1043.0,1040.0,10.0,4.5,,
One Pine,St. Louis,Ely,363.0,363.0,13.0,5.0,,
Orchard,Dakota,Lakeville,234.0,177.0,33.0,8.8,,
Ore-be-gone,St. Louis,Gilbert,140.0,140.0,433.0,,,
Orono,Sherburne,Elk River,300.51,281.0,18.0,1.0,,
Ortman,Morrison,Lastrup,,,,,,
Orwell,Otter Tail,Fergus Falls,782.0,626.0,25.0,4.7,,
Osakis,Todd,Osakis,6270.0,3146.0,73.0,3.5,,
Oscar,Douglas,Holmes City,1040.0,750.0,25.0,6.0,,
Otter,Stearns,Fairhaven,91.75,32.0,51.0,8.5,,
Otter,Wright,Maple Lake,41.0,41.0,28.0,4.3,,
Otter Tail,Otter Tail,Ottertail,13725.0,6468.0,120.0,10.5,,
Overlook,Morrison,Randall,,,,,,
Owasso,Ramsey,Shoreview,384.0,293.0,37.0,7.0,,
Owen,Itasca,Bigfork,257.0,187.0,34.0,17.0,,
Ox Yoke,Cass,Backus,166.0,88.0,42.0,12.0,,
Oxbow,Aitkin,Palisade,21.0,21.0,7.0,,,
Oxbow,Aitkin,Palisade,11.0,11.0,14.0,,,
Oxbow,Aitkin,Libby,25.0,25.0,6.0,,,
Ozawindib,Clearwater,Lake Itasca,151.0,63.0,80.0,17.0,,
Paco,Lake,Prairie Portage,19.0,19.0,5.0,5.0,,
Paddy Pond,Stearns,St Martin,2.0,2.0,6.0,2.0,,
Page,Stevens,Hancock,372.0,171.0,17.0,7.0,,
Palmer,Hennepin,Brooklyn Center,25.0,25.0,8.0,5.0,,
Pancore,Cook,Tofte,31.34,17.5,38.0,15.7,,
Park,Carlton,Mahtowa,375.0,375.0,16.0,9.25,,
Parkers,Hennepin,Plymouth,100.17,67.7,37.0,11.5,,
Parley,Carver,Waconia,242.0,231.0,18.0,6.0,,
Pasture Pond,Stearns,Cold Spring,8.0,8.0,9.0,1.0,,
Patch,Stearns,Cold Spring,23.0,23.0,12.0,6.0,,
Patridge Quarry,St Louis,Ridge,300.0,300.0,115.0,36.0,,
Paul,Otter Tail,Perham,319.0,109.0,81.0,23.0,,
Pauman,Wright,Maple Lake,,,,,,
Pearl,Becker,Detroit Lakes,237.0,168.2,54.0,7.0,,
Pearl,Stearns,Cold Spring,733.0,511.0,17.0,3.7,,
Peavy,Morrison,Sullivan,123.0,45.0,63.0,16.2,,
Pelican,Crow Wing,Breezy Point,8253.0,3910.0,104.0,19.5,,
Pelican,Grant,Ashby,3932.0,3460.0,21.0,4.0,,
Pelican,Otter Tail,Pelican Rapids,3986.0,1625.0,55.0,6.4,,
Pelican,Pope,Glenwood,519.0,416.0,34.0,6.0,,
Pelican,St. Louis,Orr,11546.0,5879.0,38.0,9.5,,
Pelican,Stearns,St.Anna,337.0,135.0,46.0,13.5,,
Pelkey,Morrison,Little Falls,96.0,96.0,7.0,2.3,,
Peltier,Anoka,Centerville,465.0,412.0,18.0,2.8,,
Pennington Mine,Crow Wing,Ironton,46.68,7.0,259.0,29.0,,
Pepin,Goodhue,Lake City,25060.0,8060.0,60.0,,,
Pequaywan,St. Louis,Rollins,418.0,240.0,33.0,9.5,,
Perch,Lincoln,Ivanhoe,224.0,180.0,16.2,2.0,,
Perch,St. Louis,Chisholm,339.0,170.0,30.0,11.0,,
Perch,Morrison,Lincoln,88.0,65.0,24.0,10.752,,
Perent,Lake,Isabella,1800.0,1368.0,28.0,6.0,,
Perkins,Stevens,Morris,512.0,512.0,13.0,3.5,,
Peterson,Crow Wing,Bay Lake,43.6,37.5,21.0,9.0,,
Peterson,Meeker,Grove City,135.12,135.12,15.0,1.8,,
Peterson,Wabasha,Midland Junction,446.0,446.0,16.0,6.0,,
Phalen,Ramsey,Saint Paul,198.0,80.0,91.0,13.0,,
Pickeral,Freeborn,Albert Lea,620.0,620.0,6.0,0.5,,
Pickeral,Wright,French Lake,19.0,15.0,37.0,8.0,,
Pickerel,Becker,Detroit Lakes,332.0,123.0,74.0,17.7,,
Pickerel,Hubbard,Park Rapids,311.0,270.0,26.0,11.5,,
Pickerel,Itasca,Effie,293.0,52.0,70.0,11.0,,
Pickerel,Otter Tail,Maine,829.0,274.0,78.0,9.0,,
Pickerel,Sherburne,Clear Lake,107.9,105.0,21.0,11.8,,
Pickerel Slough,Goodhue,Etter,32.0,32.0,14.0,1.5,,
Picket,St. Louis,Buyck,312.0,121.0,23.0,9.0,,
Pierson,Carver,Victoria,235.0,119.0,40.0,5.4,,
Pierz,Morrison,Genola,170.0,65.0,34.0,7.5,,
Pigeon,Meeker,Dassel,286.0,286.0,,1.71,,
Pigeon,St Louis,Rollins,28.0,28.0,26.0,14.0,,
Pike,Cass,Cass Lake,4760.0,2238.0,95.0,,,
Pike,Cook,Grand Marais,810.0,218.0,45.0,17.5,,
Pimushe,Beltrami,Pennington,1268.0,654.0,40.0,5.8,,
Pine (Big),Aitkin,Cutler,614.0,259.0,78.0,11.5,,
Pine (Little),Aitkin,Aitkin,220.0,103.0,44.0,12.9,,
Pine,Clearwater,Gonvick,1188.0,1188.0,15.0,6.5,,
Pine,Crow Wing,Cross Lake,390.0,387.0,18.0,10.0,,
Pine,Mahnomen,White Earth,103.0,103.0,12.0,7.84,,
Pine,Morrison,Upsala,177.98,93.0,59.0,12.5,,
Pine (Big),Otter Tail,Perham,4730.0,2386.0,76.0,6.0,,
Pine (Little),Otter Tail,Perham,1969.0,698.0,63.0,18.5,,
Pine,St. Louis,Fairbanks,430.0,430.0,14.0,4.0,,
Pine Island,Todd,Cushing,234.0,124.0,26.0,12.0,,
Pine Mountain,Cass,Backus,1567.0,737.0,80.0,7.3,,
Pine Tree,Washington,Dellwood,120.0,109.0,31.0,,,
Pipe,Cook,Lutsen,284.66,156.0,33.0,13.0,,
Pipe,Meeker,Cosmos,21.0,21.0,,11.2,,
Pirz,Stearns,Richmond,66.0,66.0,36.0,11.0,,
Pit,Cook,Grand Rapids,24.21,24.0,17.0,7.1,,
Pit 1,St. Louis,Hinsdale,282.0,282.0,120.0,36.544,,
Pit 2E,St Louis,Old Mesaba,300.0,300.0,99.0,36.0,,
Pit 3,St. Louis,Old Mesada,94.0,94.0,128.0,19.904,,
Pit 20,St Louis,Ridge,20.0,20.0,40.0,20.0,,
Pitts,Stearns,Avon,114.1,83.0,18.0,7.5,,
Placid,Cass,Pillager,537.46,340.0,25.0,5.0,,
Plantagenet,Hubbard,Bemidji,2529.0,986.0,65.0,5.2,,
Platte,Crow Wing,Sullivan,1746.0,1694.0,23.0,5.0,,
Platte River Dam Pool,Morrison,Harding,,,,,,
Pleasant,Cass,Hackensack,1038.0,410.0,72.0,13.0,,
Pleasant,Otter Tail,Underwood,370.0,235.0,38.0,13.5,,
Pleasant,St. Louis,Eveleth,345.0,154.0,33.0,7.0,,
Pleasant,Stearns,Pleasant Lake,222.0,100.0,33.0,8.0,,
Pleasant,Wright,Annanndale,509.0,260.0,74.0,11.5,,
Pocket,Douglas,Lowry,275.0,138.0,40.0,8.0,,
Pohl,Wright,Buffalo,38.0,38.0,9.0,2.04,,
Pokegama,Itasca,Grand Rapids,6612.0,1978.0,112.0,19.0,,
Pokegama,Pine,Pine City,1474.0,903.0,25.0,3.3,,
Polander,Morrison,Swanville,31.0,31.0,,5.04,,
Polander,Winona,Goodview,1199.0,1199.0,12.0,6.0,,
Pomme de Terre,Grant,Erdahl,1816.0,1568.0,23.0,3.0,,
Pomme de Terre Reservoir,Stevens,Morris,95.0,95.0,,2.6,,
Pomroy,Kanabec,Warman,412.0,412.0,11.0,4.2,,
Ponto,Cass,Backus,347.0,102.0,60.0,17.0,,
Pool 14,Sherburne,Orrock,,,,3.5,,
Pooles,Wright,Watertown,75.0,75.0,,2.77,,
Poor Farm,Aitkin,Aitkin,15.0,15.0,27.0,12.0,,
Poplar,Ramsey,New Brighton,9.0,9.0,12.0,0.96,,
Poplar,Ramsey,North Oaks,39.0,39.0,7.0,3.264,,
Poplar,Polk,Lengby,75.0,39.0,23.0,8.0,,
Poplar,Cook,Grand Marais,764.0,290.0,73.0,10.4,,
Poposky,Beltrami,Bemidji,2142.0,2035.0,20.0,,,
Popp Slough,Mcleod,Jennie,35.0,35.0,7.0,4.0,,
Popple,Morrison,Little Falls,25.0,25.0,7.0,3.0,,
Popple,Cass,Whipholt,10.1,10.0,8.0,4.0,,
Popple,Itasca,Togo,101.43,24.0,50.0,17.5,,
Popple Pond,Morrison,Pierz,,,,,,
Portage,Aitkin,McGregor,316.0,313.0,18.0,6.0,,
Portage,Crow Wing,Trommald,75.75,22.0,31.0,9.0,,
Portage,Hubbard,Park Rapids,412.0,410.0,17.0,2.8,,
Portage,Otter Tail,Ottertail,265.0,148.0,49.0,14.2,,
Porter,Meeker,Jennie,183.0,183.0,,4.48,,
Porter Reservoir,Lincoln,Porter,15.56,15.56,13.0,4.7,,
Portsmouth Pit,Crow Wing,Crosby,121.0,,,21.0,,
Potato,Hubbard,Park Rapids,2100.0,426.0,87.0,9.0,,
Pot Hole,St. Louis,Crane Lake,4.6,4.0,15.0,,,
Powers,Washington,Woodbury,58.0,,41.0,,,
Prairie,Itasca,Grand Rapids,1331.1,853.0,31.0,6.5,,
Prairie,Otter Tail,Pelican Lake,1016.0,801.0,22.0,11.9,,
Prairie,Sherburne,Clear Lake,48.0,48.0,,5.02,,
Prairie,St. Louis,Floodwood,848.0,272.0,47.0,4.0,,
Prairie Hill,Sherburne,Lake Fremont,26.0,26.0,,5.22,,
Prairie Ponds,Dakota,Farmington,12.35,11.24,12.0,5.9,,
Preston,Renville,Buffalo Lake,670.0,670.0,11.0,2.7,,
Prichard,Wabasha,Kellogg,215.0,215.0,12.0,6.0,,
Prior (Lower),Scott,Prior Lake,810.0,373.0,60.0,9.5,,
Prior (Upper),Scott,Prior Lake,354.0,329.0,50.0,3.5,,
Pug Hole,Crow Wing,Outing,48.0,13.0,30.0,14.5,,
Pugh,Morrison,Randall,21.0,21.0,,8.6,,
Pughole,Itasca,Grand Rapids,158.16,141.0,23.0,8.5,,
Pulaski,Wright,Buffalo,702.0,122.0,87.0,8.0,,
Pulaskis,Benton,Rice,,,,,,
Quamba,Kanabec,Quamba,226.0,226.0,11.0,3.9,,
Quarry,Scott,Shakopee,70.1,12.0,50.0,14.0,,
Quinn,Stearns,Clearwater,21.0,,31.0,9.5,,
R4,Yellow Medicine,Canby,13.0,13.0,13.5,6.0,,
R6,Yellow Medicine,Canby,33.22,33.22,14.0,5.0,,
Rabbit,Aitkin,Glen,214.0,77.0,51.0,8.0,,
Rabideau,Beltrami,Blackduck,577.0,515.0,112.0,14.0,,
Rachel,Douglas,Holmes City,496.0,124.0,65.0,9.0,,
Rainy,Koochiching,International Falls,220800.0,18949.0,161.0,,,"Also partially in Ontario, Canada"
Ramsey,Wright,Maple Lake,275.0,135.0,80.0,4.0,,
Ramsey Mill Pond,Mower,Ramsey,53.24,52.0,18.0,1.9,,
Ramsey Pond,Wright,Maple Lake,,,,,,
Rassett,Crow Wing,Manganese,37.0,37.0,31.0,11.0,,
Rat,Aitkin,Palisade,405.0,389.0,21.0,5.5,,
Rat Root,Koochiching,International Falls,1125.0,1125.0,8.0,,,
Rausch,Stearns,Rockville,72.0,72.0,13.0,1.0,,
Ravenna Pond,Dakota,Hastings,9.0,9.0,12.0,8.0,,
Ravine,Washington,Langdon,19.44,19.44,16.0,5.6,,
Raymond,Stearns,Padua,58.0,58.0,12.0,1.0,,
Raymond Slough,Stearns,Padua,45.0,45.0,8.0,2.6,,
Razor,Pine,Cloverdale,97.68,47.0,37.0,15.0,,
Rebecca,Dakota,Hastings,81.58,81.58,15.0,1.9,,
Rectangle Pond,Benton,Sartell,,,,,,
Red (Lower),Beltrami,Ponemah,180999.0,,,,,
Red Lake River Reservoir,Pennington,Thief River Falls,96.75,75.49,18.0,2.5,,
Red Oak,Stearns,Freeport,81.0,81.0,7.0,3.0,,
Red Rock,Douglas,Kensington,708.0,595.0,22.0,13.0,,
Red Wing Pottery Pond,Goodhue,Red Wing,8.0,8.0,13.0,8.0,,
Reeds,Waseca,Elysian,187.0,110.0,58.0,12.5,,
Reno,Crow Wing,Deerwood,167.5,167.5,9.0,9.0,,
Reno,Pope,Alexandria,3722.0,1303.0,23.0,6.5,,
Reservoir Number 4,Itasca,Nashwauk,102.35,10.0,41.5,10.0,,
